3585,"PAO DE MALTE",10,tipo,
3586,"SUCO BRUNCH",0,tipo,
3587,"ANGUS STEAK",70,tipo,
3588,"X CHURRASCO",35,tipo,
3589,"PEACH FRESH",19,tipo,
3590,"SUCO SEMANA",10,tipo,
3591,"EXTRA ACAI",21,tipo,
3592,CAIPIRINHA,25,tipo,
3593,CAIPISAQUE,25,tipo,
3594,CAIPIVODCA,25,tipo,
3595,"CHICAGO 75",30,tipo,
3596,"DL CHEDDAR",3.5,tipo,
3597,"DL COSTELA",69,tipo,
3598,"DL GILLIAN",90,tipo,
3599,"DL GUARANA",6,tipo,
3600,"DL NEGRONI",70,tipo,
3601,"DOSE VODCA",20,tipo,
3602,"GIN TONICA",35,tipo,
3603,"VEGAN RICE",33,tipo,
3604,"IPA SPRITZ",27,tipo,
3605,"ARROZ BCO",10,tipo,
3606,"SOFIE MOSA",28,tipo,
3607,"SOFIE PACK",100,tipo,
3608,"SUCO LIMAO",7,tipo,
3609,"CERV TOUR",10,tipo,
3610,"PINT ACAI",0,tipo,
3611,"DL JULIET",90,tipo,
3612,"DL LOLITA",90,tipo,
3613,"DL MIDWAY",13,tipo,
3614,"DL PICLES",3.5,tipo,
3615,"DL SALADA",2,tipo,
3616,"DL TONICA",6,tipo,
3617,"ENTRADA 1",1,tipo,
3618,"ENTRADA 2",1,tipo,
3619,"EXECUTIVO VEGGIE",35,tipo,
3620,SOBREMESA,10,tipo,
3621,"IPA 280 ML",11.5,tipo,
3622,"IPA 470ML",20,tipo,
3623,"IPA 570ML",24,tipo,
3624,PARRILADA,120,tipo,
3625,PROVOLETA,30,tipo,
3626,MANHATTAN,32,tipo,
3627,NEGRONIPA,27,tipo,
3628,"BONE BEGE",70,tipo,
3629,"DL BACON",8,tipo,
3630,"DL HALIA",90,tipo,
3631,"DL PEPSI",6,tipo,
3632,"DOSE RUM",16,tipo,
3633,POLPETAS,50,tipo,
3634,CHAVEIRO,15,tipo,
3635,"COPO 280",25,tipo,
3636,"COPO 470",30,tipo,
3637,"COPO 570",40,tipo,
3638,BRUNCH,49,tipo,
3639,"DL AGUA",6,tipo,
3640,"EXECUTIVO STEAK",35,tipo,
3641,"EXECUTIVO CLASSIC",35,tipo,
3642,TARTARE,1,tipo,
3643,NEGRONI,38,tipo,
3644,FALAFEL,27,tipo,
3645,"DL H20",6,tipo,
3646,MOJITO,25,tipo,
3647,PICLES,3.5,tipo,
3648,CAFE,6,tipo,
3649,MASSA,35,tipo,
3650,BACON,8,tipo,
3651,"MIDWAY PACK 12",110,tipo,
3652,"DL GROWLER AMERICAN WHEAT ML",35,tipo,
3653,"DL GROWLER ENGLISH BITTER ML",35,tipo,
3654,"DL GROWLER IPA ML",35,tipo,
3655,"DL GROWLER PINEY PILS ML",35,tipo,
3656,"DL GROWLER YELLOW LINE ML",35,tipo,
9000,"SERVICO OPICIONAL",0,tipo,
9001,BRUNCH,1,tipo,
9002,BURGERS,1,tipo,
9003,"DELIVERY ALIM",1,tipo,
9004,DESSERTS,1,tipo,
9005,EXECUTIVO,1,tipo,
9006,FLATBREAD,1,tipo,
9007,"ON FIRE",1,tipo,
9008,PROMOS,1,tipo,
9009,SALADS,1,tipo,
9010,SANDWICHES,1,tipo,
9011,"SHAREABLE AND SNACKS",1,tipo,
9012,SIDES,1,tipo,
9013,"DELIVERY ALC",1,tipo,
9014,DESTILADOS,1,tipo,
9015,DRINKS,1,tipo,
9016,VINHOS,1,tipo,
9017,"CERVEJA GARRAFA",1,tipo,
9018,"DELIVERY CERV",1,tipo,
9019,"BARRIL CHOPP",1,tipo,
9020,"CERV ON TAP",1,tipo,
9021,"DL GROWLER 1 LITRO",1,tipo,
9022,"GROWLER 1 LITRO",1,tipo,
9023,BONE,1,tipo,
9024,CAMISETA,1,tipo,
9025,CASACOS,1,tipo,
9026,OUTROS,1,tipo,
9027,BEBIDAS,1,tipo,
9028,"DELIVERY NAB",1,tipo,
9600,"TAXA DE ENTREGA",6,tipo,
5926,"GOOSE DELIVERY FRIES",20,tipo,
7041,"GARRAFA GOOSE 500 ML",6,tipo,
7042,"GROWLER KOLSHA BAMBA ML",35,tipo,
7043,"DL GROWLER KOLSHA BAMBA ML",35,tipo,
7044,"GOOSE KOLSHA BAMBA 30L ML",300,tipo,
7045,"GOOSE KOLSHA BAMBA 50L ML",500,tipo,
7046,"KOLSHA BAMBA 280ML",11.5,tipo,
7047,"KOLSHA BAMBA 470ML",20,tipo,
7048,"KOLSHA BAMBA  570ML",24,tipo,
7049,"BROWNIE TRIPLO CHOCOLATE",23,tipo,
7050,"GROWLER ROCKET LAUNCHER ML",35,tipo,
7051,"DL GROWLER ROCKET LAUNCHER ML",35,tipo,
7052,"GOOSE ROCKET LAUNCHER 30L ML",300,tipo,
7053,"GOOSE ROCKET LAUNCHER 50L ML",500,tipo,
7054,"ROCKET LAUNCHER 280ML",11.5,tipo,
7055,"ROCKET LAUNCHER 470ML",20,tipo,
7056,"ROCKET LAUNCHER 570ML",24,tipo,
7057,"GROWLER BIG RISK ML",35,tipo,
7058,"DL GROWLER BIG RISK ML",35,tipo,
7059,"GOOSE BIG RISK 30L ML",300,tipo,
7060,"GOOSE BIG RISK 50L ML",500,tipo,
7061,"BIG RISK 280ML",11.5,tipo,
7062,"BIG RISK470ML",20,tipo,
7063,"BIG RISK TACA ML",30,tipo,
1375,"CROW APPIA 710ML",18,tipo,
1388,"CROW CAUIM 016 710ML",21,tipo,
1390,"CROW CAUIM 710ML",18,tipo,
1391,"CROW DEMOISELLE 710ML",21,tipo,
1392,"CROW EUGENIA 710ML",29,tipo,
1393,"CROW GUANABARA 710ML",46,tipo,
1394,"CROW ICI 02 710ML",29,tipo,
1395,"CROW INDICA 710ML",21,tipo,
1396,"CROW ITHACA  710ML",46,tipo,
1397,"CROW MURICA 710ML",29,tipo,
1398,"CROW NANO 710ML",32,tipo,
1399,"CROW NASSAU 710ML",29,tipo,
1400,"CROW RIBEIRAO LAGER 710ML",18,tipo,
1401,"CROW TROPICANA 710ML",18,tipo,
1402,"CROW VIXNU 710ML",25,tipo,
9029,"GROWLER 710 ML",1,tipo,
1403,"CROW AMERICAN WHEAT 710ML",25,tipo,
1404,"CROW ENGLISH BITTER 710ML",25,tipo,
1405,"CROW IPA 710ML",25,tipo,
1406,"CROW PINEY PILS 710ML",25,tipo,
1407,"CROW YELLOW LINE 710ML",25,tipo,
1408,"CROW MIDWAY 710ML",25,tipo,
1473,"CROW WAI ITI 710ML",25,tipo,
1474,"HOEGAARDEN 280ML",11.5,tipo,
1475,HOEGAARDEN,20,tipo,
1476,"HOEGAARDEN 570ML",24,tipo,
1477,"DL GROWLER HOEGAARDEN",40,tipo,
1478,"GROWLER HOEGAARDEN",40,tipo,
9601,"TAXA ENTREGA",1,tipo,
646,"PEPSI LATA 350ML ZE",preco,tipo,
647,"PEPSI ZERO 350 ML ZE",preco,tipo,
648,"LASANHA TOCA FUNCIONARIO",preco,tipo,
649,"BAIAO DE DOIS FUNCIONARIO",preco,tipo,
650,"ESCONDIDINHO FUNCIONARIO",preco,tipo,
651,"CERVEJA RIBER LAJER 410ML ZE",preco,tipo,
652,"CERVEJA BRAHMA ZERO LT 350ML Z",preco,tipo,
653,"CITRUS ANTARCTICA 350ML ZE",preco,tipo,
654,"CERVEJA CABRUCA 350ML",preco,tipo,
645,"COPO COLORADO 350 ML ZE",preco,tipo,
5225,"CERV PORTER PORTEIRA 500ML ZE",preco,tipo,
655,"LATA CROWLER",1.05,tipo,
656,"CHA BAER MATE",5,tipo,
657,"RIBEIRAO LAGER LN 355ML",preco,tipo,
2510,"GROW ITHACA 1L",preco,tipo,
658,"GROW ITHACA 2L",preco,tipo,
2659,"RED BULL LT 250ML",preco,tipo,
2660,"RED BULL SUGARFREE LT 250ML",preco,tipo,
586,"FEIJOADA DELIVERY",preco,tipo,
659,"ENERGETICO RED BULL 250ML ZE",preco,tipo,
660,"ENERGETICO RED BULL ZERO 250ML",preco,tipo,
661,"MIKES HARD SPARKLING WATER 350",4.99,tipo,
662,"TAXA DE LOCACAO CHOPEIRA",preco,tipo,
5320,"NORTENA 960ML",preco,tipo,
268,"CERVEJA PATAGONIA WEISSE 355ML",preco,tipo,
5244,"PATAGONIA BOHEMIAN PIL LN355ML",0,tipo,
266,"CERVEJA PATAGONIA AMBER 355ML",preco,tipo,
277,"CERVEJA WALS VERANO 600ML",preco,tipo,
664,"CERVEJA CARACU LONG NECK 355ML",preco,tipo,
2486,"CERV GUANABARA WOOD 600ML",49.9,tipo,
2496,"CHOP APPIA 350ML COLLACT",0.01,tipo,
2498,"CHOP DEMOIS 350ML COLLACT",0.01,tipo,
2500,"CHOP INDICA 350ML COLLACT",0.01,tipo,
2497,"CHOP CAUIM 016 350ML COLLACT",0.01,tipo,
677,"TACA HOCUS POCUS COGU 330ML",30,tipo,
1916,"CAFE DESCAFEINADO",5,tipo,
1917,"CAFE RISTRETO",5,tipo,
2127,"CAFE LEGGERO",5,tipo,
23,"ARROZ EXTRA",5,tipo,
4000,"HOTDOG COM CHEDDAR",30,tipo,
4001,"HOTDOG CHICAGO",26,tipo,
4002,"HOTDOG ALEMAO",25,tipo,
3999,HOTDOG,0.01,tipo,
9030,HOT-DOGS,1,tipo,
5139,"GROWLER CERAMICA 550ML",44.9,tipo,
1472,"MIKES HARD LEMONADE LT",4.99,tipo,
1792,"H2OH CITRUS PET 500ML",2.99,tipo,
7023,"BARMAT PATAGONIA",70,tipo,
3657,"GROWLER H MELLON ML",35,tipo,
3658,"DL GROWLER H MELLON  ML",35,tipo,
3659,"GOOSE H MELLON 50L ML",500,tipo,
